"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"1","1","V48","Verstärker 48","","3","","",""
"2","1","V81","Verstärker 81","","3","","",""
"3","1","1","Aschenberg Ost-Frauenberg-Stadtschloss-Ziehers Nord","","3","","",""
"4","1","V52","Verstärker 52","","3","","",""
"5","1","V65","Verstärker 65","","3","","",""
"6","1","V16","Verstärker 16","","3","","",""
"7","1","V50","Verstärker 50","","3","","",""
"8","1","V29","Verstärker 29","","3","","",""
"9","1","V59","Verstärker 59","","3","","",""
"10","1","V19","Verstärker 19","","3","","",""
"11","1","V11","Verstärker 11","","3","","",""
"12","2","72","Langenschwarz-Burghaun-Hünfeld","","3","","",""
"13","2","21","Hilders-Hofbieber-Petersberg-Fulda","","3","","",""
"14","2","76","Haselstein-Großenbach-Hünfeld","","3","","",""
"15","2","82","Langenschwarz(-Rothenkirchen)-Burghaun-(Hünfeld)","","3","","",""
"16","1","V95","Verstärker 95","","3","","",""
"17","2","25","Tann-Esbachsgraben-Aura-Hilders","","3","","",""
"18","1","5","Künzell-Stadtschloss-Galerie-Giesel","","3","","",""
"19","1","8","An St. Johann-Stadtschloss-Niesig","","3","","",""
"20","2","32","Tann-Simmershausen-Hilders-Reulbach-Dipperz-Fulda","","3","","",""
"21","2","65","Brandlos-Jossa-Hosenfeld-Blankenau-Kleinlüder-Großenlüder","","3","","",""
"22","1","V23","Verstärker 23","","3","","",""
"23","1","V31","Verstärker 31","","3","","",""
"24","2","36","Dirlos-Pilgerzell-Künzell-Fulda","","3","","",""
"25","1","V43","Verstärker 43","","3","","",""
"26","2","53","Hauswurz-Kauppen-Buchenrod-Flieden-Rückers-Schweben-Neuhof","","3","","",""
"27","1","V42","Verstärker 42","","3","","",""
"28","2","42","Heub.-Büchenb.-Rothemann-Hattenhof-Löschenrod-Eichenz.l-FD","","3","","",""
"29","1","V66","Verstärker 66","","3","","",""
"30","1","V57","Verstärker 57","","3","","",""
"31","1","4","Malkes-Oberrode-Haimbach-Stadtschloss-Edelzell-Pilgerzell","","3","","",""
"32","1","V69","Verstärker 69","","3","","",""
"33","1","V17","Verstärker 17","","3","","",""
