"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"14","6","1","","76702","0","","121",""
"13","3","10","","21111","0","","274",""
"24","8","100","","36107","0","","131",""
"107","19","1000","","33206","1","","7",""
"31","10","10000","","4043","0","","157",""
"31","9","10001","","4043","0","","157",""
"31","5","10002","","4043","0","","157",""
"31","5","10003","","4059","0","","157",""
"18","3","10004","","5101","0","","540",""
"18","10","10005","","5101","0","","540",""
"18","8","10006","","5101","0","","540",""
"18","2","10007","","5101","0","","540",""
"18","1","10008","","5101","0","","540",""
"18","9","10009","","5101","0","","540",""
"57","4","1001","","52719","0","","36",""
"18","5","10010","","5101","0","","540",""
"18","6","10011","","5101","0","","540",""
"18","7","10012","","5101","0","","540",""
"18","4","10013","","5101","0","","540",""
"31","6","10014","","4043","0","","157",""
"31","7","10015","","4043","0","","157",""
"31","8","10016","","4043","0","","157",""
"31","3","10017","","4043","0","","157",""
"31","4","10018","","4043","0","","157",""
"31","3","10019","","4059","0","","157",""
"57","9","1002","","52719","0","","36",""
"31","10","10020","","4051","0","","157",""
"31","7","10021","","4051","0","","157",""
"31","2","10022","","4051","0","","157",""
"31","4","10023","","4051","0","","157",""
"31","1","10024","","4059","0","","157",""
"31","10","10025","","4059","0","","157",""
"31","9","10026","","4059","0","","157",""
"31","9","10027","","4067","0","","157",""
"31","7","10028","","4059","0","","157",""
"31","8","10029","","4059","0","","157",""
"57","10","1003","","52719","0","","36",""
"31","10","10030","","4067","0","","157",""
"31","6","10031","","4067","0","","157",""
"31","7","10032","","4067","0","","157",""
"31","2","10033","","4067","0","","157",""
"31","4","10034","","4001","0","","155",""
"31","10","10035","","4001","0","","155",""
"31","3","10036","","4001","0","","155",""
"31","9","10037","","4001","0","","155",""
"31","6","10038","","4001","0","","155",""
"31","8","10039","","4001","0","","155",""
"57","5","1004","","52719","0","","36",""
"31","7","10040","","4001","0","","155",""
"31","5","10041","","4001","0","","155",""
"31","2","10042","","4001","0","","155",""
"31","1","10043","","4001","0","","155",""
"31","35","10044","","4060","1","","168",""
"31","34","10045","","4060","1","","168",""
"31","32","10046","","4060","1","","168",""
"31","31","10047","","4060","1","","168",""
"31","36","10048","","4060","1","","168",""
"18","3","10049","","5092","1","","546",""
"57","6","1005","","52719","0","","36",""
"18","9","10050","","5092","1","","546",""
"18","6","10051","","5092","1","","546",""
"18","1","10052","","5092","1","","546",""
"18","7","10053","","5092","1","","546",""
"18","5","10054","","5092","1","","546",""
"18","10","10055","","5092","1","","546",""
"18","4","10056","","5092","1","","546",""
"18","2","10057","","5092","1","","546",""
"18","8","10058","","5092","1","","546",""
"18","3","10059","","5040","1","","101",""
"100","7","1006","","77107","0","","23",""
"18","5","10060","","5034","1","","101",""
"18","3","10061","","5028","1","","101",""
"18","9","10062","","5034","1","","101",""
"18","6","10063","","5060","1","","101",""
"18","10","10064","","5034","1","","101",""
"18","4","10065","","5028","1","","101",""
"18","4","10066","","5002","1","","101",""
"18","10","10067","","5028","1","","101",""
"18","2","10068","","5002","1","","101",""
"18","6","10069","","5002","1","","101",""
"100","8","1007","","77107","0","","23",""
"18","1","10070","","5006","1","","101",""
"18","10","10071","","5020","1","","101",""
"18","10","10072","","5002","1","","101",""
"18","2","10073","","5020","1","","101",""
"18","3","10074","","5020","1","","101",""
"18","5","10075","","5040","1","","101",""
"18","9","10076","","5002","1","","101",""
"18","8","10077","","5040","1","","101",""
"18","5","10078","","5002","1","","101",""
"18","7","10079","","5060","1","","101",""
"100","1","1008","","77107","0","","23",""
"18","3","10080","","5002","1","","101",""
"18","7","10081","","5002","1","","101",""
"18","1","10082","","5002","1","","101",""
"18","1","10083","","5060","1","","101",""
"31","32","10084","","4044","1","","168",""
"31","35","10085","","4044","1","","168",""
"31","31","10086","","4054","1","","168",""
"31","34","10087","","4044","1","","168",""
"31","32","10088","","4054","1","","168",""
"31","36","10089","","4054","1","","168",""
"100","2","1009","","77107","0","","23",""
"31","35","10090","","4054","1","","168",""
"31","36","10091","","4044","1","","168",""
"31","31","10092","","4044","1","","168",""
"31","34","10093","","4054","1","","168",""
"31","10","10094","","4120","1","","547",""
"31","9","10095","","4120","1","","547",""
"31","2","10096","","4120","1","","547",""
"31","7","10097","","4120","1","","547",""
"31","5","10098","","4120","1","","547",""
"31","1","10099","","4120","1","","547",""
"24","7","101","","36107","0","","131",""
"100","3","1010","","77107","0","","23",""
